token_id,gender,background,body,body_type,body_style,body_color,face,face_type,face_style,face_color,hair,hair_type,hair_style,hair_color,type,type_type,type_color,repeated_color,image_original_url,metadata_original_url
1517,Male,Blue,Puffy Vest Pink,Clothing,Puffy Vest,Pink,Tiny Smile,Expression,Tiny Smile,No Color,Mullet Pink,Hair,Mullet,Pink,Gradient Cyan Blue Purple,Gradient,Cyan Blue Purple,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1517.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1517
1518,Male,Blue,Driving Jacket Pink,Clothing,Driving Jacket,Pink,Robo Visor GVC,Glasses,Robo Visor,GVC,Top Messy Red,Hair,Top Messy,Red,Gradient Lime Seafoam,Gradient,Lime Seafoam,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1518.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1518
1519,Male,Pink,Retro Windbreaker Black,Clothing,Retro Windbreaker,Black,Rainbow Visor,Glasses,Rainbow Visor,Rainbow Visor,Middle Part Rainbow,Hair,Middle Part,Rainbow,Gradient Lime Seafoam,Gradient,Lime Seafoam,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1519.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1519
1520,Male,Blue,Turtleneck Pink Chrome,Clothing,Turtleneck,Pink Chrome,Smile,Expression,Smile,No Color,Rainbow Headband White Headphones,Headgear,Headphones,Rainbow White,Gradient Pink Magenta Red,Gradient,Pink Magenta Red,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1520.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1520
1521,Male,Cream,Tank Top Scribble Stripes Red,Clothing,Tank Top,Scribble Stripes Red,Puppy Happy,Expression,Puppy Happy,No Color,Short Gold,Hair,Short,Gold,Robot Red Candy Apple,Robot,Red Candy Apple,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1521.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1521
1522,Male,Red,Hooded Jacket Yellow Rain,Clothing,Hooded Jacket Rain,Yellow Rain,Red Cubic Sunglasses,Glasses,Cubic Sunglasses,Red,Top Messy Red,Hair,Top Messy,Red,Gradient Yellow Orange,Gradient,Yellow Orange,3,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1522.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1522
1523,Male,Mint,Hoodie Blue,Clothing,Hoodie,Blue,Circle Glasses Black Black,Glasses,Circle Glasses,Black Black,Dundee Hat Light Blue,Headgear,Dundee Hat,Light Blue,Plastic Pink,Plastic,Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1523.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1523
1524,Male,Mint,Short Sleeve Button Up Pink Flower,Clothing,Short Sleeve Button Up,Pink Flower,Meditation,Expression,Meditation,No Color,Manbun Mint,Hair,Manbun,Mint,Gradient Pink Magenta Red,Gradient,Pink Magenta Red,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1524.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1524
1525,Male,Blue,Driving Jacket Mint,Clothing,Driving Jacket,Mint,Gold Cubic Sunglasses,Glasses,Cubic Sunglasses,Gold,Manbun Purple,Hair,Manbun,Purple,Gradient Lime Seafoam,Gradient,Lime Seafoam,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1525.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1525
1526,Male,Yellow,Suit Red,Clothing,Suit,Red,Robo Visor Dots Full,Glasses,Robo Visor,Dots Full,Manbun Black,Hair,Manbun,Black,Gradient Yellow Yellow,Gradient,Yellow Yellow,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1526.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1526
